iddesa;kdprov;nmprov;kdkab;nmkab;kdkec;nmkec;kddesa;nmdesa;klas;stat_pem
7107050012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;012;BIGO SELATAN;1;DESA
7107050013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;013;SOLIGIR;1;DESA
7107050014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;014;BOROKO UTARA;1;DESA
7107050015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;050;KAIDIPANG;015;GIHANG;2;DESA
7107060001;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;001;BUSATO;2;DESA
7107060002;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;002;KAYUOGU;2;DESA
7107060003;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;003;BATU BANTAYO;2;DESA
7107060004;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;004;TONTULOW;2;DESA
7107060005;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;005;TOMBULANG;2;DESA
7107060006;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;006;BUKO;1;DESA
7107060007;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;007;BUKO SELATAN;2;DESA
7107060008;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;008;DALAPULI;2;DESA
7107060009;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;009;BATUTAJAM;2;DESA
7107060010;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;010;DENGI;2;DESA
7107060011;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;011;TUNTUNG;2;DESA
7107060012;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;012;KOMUS I;2;DESA
7107060013;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;013;TANJUNG SIDUPA;2;DESA
7107060014;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;014;TONTULOW UTARA;2;DESA
7107060015;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;015;BUKO UTARA;1;DESA
7107060016;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;016;DALAPULI BARAT;2;DESA
7107060017;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;017;DALAPULI TIMUR;2;DESA
7107060018;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;018;TOMBULANG TIMUR;1;DESA
7107060019;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;019;TOMBULANG PANTAI;1;DESA
7107060020;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;020;DUINI;2;DESA
7107060021;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;021;TUNTUNG TIMUR;2;DESA
7107060022;71;SULAWESI UTARA;07;BOLAANG MONGONDOW UTARA;060;PINOGALUMAN;022;PADANGO;2;DESA
